iter	Logloss
0	0.6790995381
1	0.6650001094
2	0.6507726271
3	0.6384333022
4	0.6300500939
5	0.6198486672
6	0.6116009106
7	0.6034293932
8	0.5955748845
9	0.5878575657
10	0.5830740783
11	0.5767876227
12	0.5706615585
13	0.5657966685
14	0.5601416972
15	0.5550119552
16	0.551089232
17	0.5478141473
18	0.544318833
19	0.5427419137
20	0.5401722252
21	0.5370987394
22	0.5353468212
23	0.5326377453
24	0.5303339662
25	0.5276985278
26	0.5249143066
27	0.5235606904
28	0.5216109839
29	0.5198045225
30	0.5183737592
31	0.5181432251
32	0.5164045845
33	0.5148376776
34	0.5143250487
35	0.513338906
36	0.511827727
37	0.5106211904
38	0.5090267411
39	0.5078306923
40	0.5063504618
41	0.5047544384
42	0.5042635479
43	0.5036652263
44	0.5026295854
45	0.5014380063
46	0.5011746758
47	0.5004884076
48	0.4993234529
49	0.498666127
50	0.4979615291
51	0.496369778
