iter	Passed	Remaining
0	295	147401
1	354	88279
2	461	76506
3	552	68557
4	583	57814
5	687	56611
6	745	52500
7	851	52378
8	947	51697
9	1040	50998
10	1091	48507
11	1171	47622
12	1249	46801
13	1316	45694
14	1389	44933
15	1462	44245
16	1521	43229
17	1591	42624
18	1656	41931
19	1682	40377
20	1750	39936
21	1824	39637
22	1872	38830
23	1947	38618
24	2021	38408
25	2085	38015
26	2164	37916
27	2208	37229
28	2276	36968
29	2345	36751
30	2413	36511
31	2436	35632
32	2501	35406
33	2576	35308
34	2614	34732
35	2668	34390
36	2737	34249
37	2829	34404
38	2898	34265
39	2966	34112
40	3087	34567
41	3172	34589
42	3245	34487
43	3318	34396
44	3390	34276
45	3464	34190
46	3497	33705
47	3559	33515
48	3625	33365
49	3680	33125
50	3751	33031
51	3838	33068
